timestamp_ns,message_id,mechanism,message_size,one_way_latency_ns,round_trip_latency_ns
1756407489331176963,244,Unix Domain Socket,65536,,167055
1756407489331355838,245,Unix Domain Socket,65536,,164944
1756407489331536758,246,Unix Domain Socket,65536,,168016
1756407489331716923,247,Unix Domain Socket,65536,,166398
1756407489331898279,248,Unix Domain Socket,65536,,168182
1756407489332077761,249,Unix Domain Socket,65536,,165900
1756407489332257601,250,Unix Domain Socket,65536,,166374
1756407489332434594,251,Unix Domain Socket,65536,,163522
1756407489332634619,252,Unix Domain Socket,65536,,187127
1756407489332815490,253,Unix Domain Socket,65536,,166097
1756407489332999367,254,Unix Domain Socket,65536,,170893
1756407489333178941,255,Unix Domain Socket,65536,,165474
1756407489333361179,256,Unix Domain Socket,65536,,166628
1756407489333542033,257,Unix Domain Socket,65536,,167307
1756407489333725362,258,Unix Domain Socket,65536,,168405
1756407489333907772,259,Unix Domain Socket,65536,,168977
1756407489334085648,260,Unix Domain Socket,65536,,164074
1756407489334261632,261,Unix Domain Socket,65536,,163021
1756407489334442844,262,Unix Domain Socket,65536,,166839
1756407489334626691,263,Unix Domain Socket,65536,,170447
1756407489334809503,264,Unix Domain Socket,65536,,168640
1756407489334989096,265,Unix Domain Socket,65536,,166512
1756407489335166264,266,Unix Domain Socket,65536,,163511
1756407489335342434,267,Unix Domain Socket,65536,,163455
1756407489335525571,268,Unix Domain Socket,65536,,169165
1756407489335708754,269,Unix Domain Socket,65536,,169599
1756407489335890586,270,Unix Domain Socket,65536,,167481
1756407489336074099,271,Unix Domain Socket,65536,,168870
1756407489336251089,272,Unix Domain Socket,65536,,163251
1756407489336430383,273,Unix Domain Socket,65536,,165920
1756407489336611011,274,Unix Domain Socket,65536,,166940
1756407489336791339,275,Unix Domain Socket,65536,,166835
1756407489336970852,276,Unix Domain Socket,65536,,165986
1756407489337152966,277,Unix Domain Socket,65536,,168800
1756407489337332210,278,Unix Domain Socket,65536,,165520
1756407489337534041,279,Unix Domain Socket,65536,,188893
1756407489337714119,280,Unix Domain Socket,65536,,166683
1756407489337894097,281,Unix Domain Socket,65536,,166996
1756407489338069188,282,Unix Domain Socket,65536,,161793
1756407489338248475,283,Unix Domain Socket,65536,,166363
1756407489338425750,284,Unix Domain Socket,65536,,163901
1756407489338608234,285,Unix Domain Socket,65536,,169702
1756407489338790483,286,Unix Domain Socket,65536,,166819
1756407489338973433,287,Unix Domain Socket,65536,,168998
